Entrez_ID,Gene,mouse_scBAT_count,mouse_iBAT_counts,mouse_WAT_count,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu,Human_Genbank_Accession,Human_Gene,Human_scBAT_FPKM,Human_WAT_FPKM,MouseSCBATvsWAT_LR,MouseSCBATvsWAT_PV
13120,Cyp4b1,969,916.6667,2027.6667,361.51,99.46,244.31,69.3,48.01,29.4,NM_000779,CYP4B1,37.4,1.86,0,0.22867
77220,Tmem200a,5,7,2.6667,8.245,10.015,13.475,8.64,6.14,10.315,NM_001258276,TMEM200A,3.22,1.37,1,0.06339
14066,F3,2369,2890.6667,758.3333,2028.61,3402.59,1589.25,1156.86,498.57,1161.09,NM_001178096,F3,20.42,8.1,1,3.79e-11
97064,Wwtr1,1918.6667,1849.3333,3031.3333,1073.8167,1091.19,1092.1033,1108.1533,816.8933,1242.14,NM_001168280,WWTR1,12.29,5.19,0,0.9544
12661,Chl1,72.3333,60,162.3333,145.4925,152.54,117.9925,17.92,78.3625,368.3325,NM_001253388,CHL1,0.68,0,0,0.31072
11518,Add1,2663.6667,2518.6667,6371.3333,688.73,605.46,760.4033,672.3167,767.4067,753.2833,NM_014190,ADD1,1.31,0,0,0.072752
109593,Lmo3,0,0.33333,0,19.13,32.7,6.16,1.71,10.81,16.25,NM_018640,LMO3,4.81,0.65,1,1
66665,Msantd3,263,267.6667,203.6667,61.765,44.375,71.565,135.825,69.26,83.615,NM_001198806,MSANTD3,27.75,6.38,1,0.030876
223332,Ranbp3l,26.3333,38.6667,37.3333,23.81,21.35,27.125,15.985,16.945,13.135,NM_145000,RANBP3L,3.56,0.75,1,0.77074
69181,Dyrk2,540.6667,563.3333,1064.6667,514.41,495.345,836.6775,571.2575,411.3,439.21,NM_006482,DYRK2,2.86,1.02,0,0.47502
22791,Dnajc2,509,469.3333,1355.3333,430.7275,292.74,331.52,702.9125,227.2975,376.4075,NM_014377,DNAJC2,29.13,10.02,0,0.065918
68095,Ociad1,4104,3935.3333,4495.6667,1700.32,1550.475,1442.1,2366.25,1652.545,1755.77,NM_001168254,OCIAD1,9.43,0,1,0.037092
319582,6430573F11Rik,149,169.6667,88,21.4,21.08,18.69,10.315,29.33,32.63,NM_020844,KIAA1456,1.21,0.56,1,0.0011291
57773,Wdr4,613,630.6667,735.6667,91.475,63.7175,71.8525,116.1825,86.39,85.8825,NM_033661,WDR4,3.65,1.56,1,0.12261
13421,Dnase1l3,21.3333,17.6667,1883,9.59,12.925,5.49,12.155,25.255,17.885,NM_004944,DNASE1L3,2.25,0.36,0,4.8e-13
99311,Commd7,538,463.6667,1143.6667,192.03,188.12,207.71,307.755,219.795,167.7,NM_001099339,COMMD7,2.41,0,0,0.25923
320705,Bend6,3.6667,2.6667,21,54.6,90.205,87.89,71.72,67.645,62.765,NM_152731,BEND6,1.05,0.48,0,0.019021
70315,Hdac8,145,169,258.6667,9.99,17.05,18.99,15.55,10.6,15.27,NM_018486,HDAC8,7.66,3.58,0,0.83427
94246,Arid4b,811.3333,747,2323.3333,200.9767,172.1167,235.5217,266.6317,124.2717,198.1967,NM_016374,ARID4B,2.27,0.79,0,0.028385
56275,Rbm14,486.3333,496.3333,942,249.178,328.304,334.786,469.266,378.382,366.466,NM_006328,RBM14,7.58,3.69,0,0.52208
217721,Mfsd7c,10.3333,7,48.6667,70.87,50.4,54.19,59.67,67.99,72.22,NM_017791,FLVCR2,3.93,1.92,0,0.01068
18162,Npr3,2484.3333,2340.3333,13785,204.48,73.4067,41.2133,86.22,30.71,81.3533,NM_001204375,NPR3,6.63,1.33,0,4.48e-05
18044,Nfya,535.3333,557,1708.6667,103.76,157.03,117.22,192.6267,144.9233,118.22,NM_021705,NFYA,3.56,0.71,0,0.013726
230721,Pabpc4,2665,2764,2110.6667,1943.825,3116.905,4110.485,1735.625,1992.34,1577.91,NM_003819,PABPC4,23.42,11.59,1,0.00016847
207214,Larp4,2990,2952,2519,770.6067,548.1767,627.87,647.8633,331.52,653.6233,NM_199188,LARP4,10.64,1.67,1,0.00045366
12703,Socs1,14,11.3333,229.6667,70.93,31.66,82.52,63.55,38.37,92.28,NM_003745,SOCS1,2.66,1.28,0,3.57e-06
73102,Slc22a23,1677.3333,1399,1291.3333,111.44,117.47,83.94,28.79,57.95,29.78,NM_021945,SLC22A23,3.49,1.47,1,0.006662
66787,Gskip,462,428.3333,730.3333,491.405,370.325,406.845,467.6625,329.995,444.375,NM_001271906,GSKIP,6.1,2.38,1,0.86174
109593,Lmo3,0,0.33333,0,19.13,32.7,6.16,1.71,10.81,16.25,NM_001243611,LMO3,1.47,0.27,1,1
399510,Map4k5,617.3333,573,1012,201.0267,160.3267,190.2633,199.0533,72.9467,151.4667,NM_198794,MAP4K5,0.79,0,0,0.97005
70503,Ddo,1868.6667,1846.6667,474.3333,85.9125,99.0125,25.455,33.005,29.965,22.725,NM_004032,DDO,2.98,0.9,1,2.08e-09
320165,Tacc1,5357.6667,5514.6667,7558.3333,769.5033,741.2033,1268.03,666.2467,777.27,1411.21,NM_001146216,TACC1,24.51,9.15,1,0.51359
240660,Slc35g1,224,210.3333,575.3333,36.58,33.35,30.04,34.15,46.61,36.24,NM_001134658,SLC35G1,1.86,0.2,0,0.081809
108841,Rdh13,1235,1269,552.6667,347.01,237.67,308.79,461.1,225.06,249.9,NM_001145971,RDH13,2.65,1.23,1,4.79e-09
70054,Ccdc89,8,5.3333,13.3333,11.895,16.815,9.135,15.51,12.375,14.14,NM_152723,CCDC89,0.97,0.43,0,1
15423,Hoxc4,42,222,133.3333,446.41,248.19,443.68,304.45,245.1,313.38,NM_153633,HOXC4,6.46,0.85,0,0.052619
64103,Tnmd,1.6667,2.6667,1.3333,12.95,15.15,7.64,9.04,5.26,7.94,NM_022144,TNMD,1.15,0.46,1,0.64358
407800,Ecm2,481.3333,488.6667,833.3333,15.77,23.525,12.745,16.32,17.25,12.71,NM_001197295,ECM2,12.87,2.78,0,0.72869
14368,Fzd6,308,352,375,22.12,17.5233,25.4167,10.7733,20.9267,19.15,NM_001164616,FZD6,6.68,0.88,1,0.27075
26428,Orc4,636,642.6667,1067.6667,298.0925,365.9675,365.8525,545.0425,274.5125,427.7475,NM_001190882,ORC4,3.38,0,0,0.99879
71720,Osbpl3,57.6667,53.3333,458.3333,19.5933,18.92,19.3167,42.1433,29.1933,20.6967,NM_015550,OSBPL3,4.95,0.58,0,4.57e-05
14936,Gys1,6642.6667,6058.3333,3810.3333,523.09,373.19,556.7,597.405,363.975,990.69,NM_001161587,GYS1,5.64,1.35,1,8.44e-05
106869,Tnfaip8,1305.3333,1084,2432,403.525,552.08,421.615,380.48,327.72,403.945,NM_014350,TNFAIP8,8.53,4.21,0,0.60911
217721,Mfsd7c,10.3333,7,48.6667,70.87,50.4,54.19,59.67,67.99,72.22,NM_001195283,FLVCR2,3.91,1.76,0,0.01068
77220,Tmem200a,5,7,2.6667,8.245,10.015,13.475,8.64,6.14,10.315,NM_001258277,TMEM200A,2.99,0.49,1,0.06339
13390,Dlx1,1,1.3333,0.66667,42.59,57,31.11,61.72,22.35,65,NM_001038493,DLX1,2.74,0.45,1,0.42303
16563,Kif2a,561.6667,551.6667,1019.3333,262.948,284.446,246.192,433.116,254.286,286.834,NM_001243953,KIF2A,8.3,3.82,0,0.74211
75141,Rasd2,43,14.6667,62,5.795,14.285,15.81,9.255,9.14,5.115,NM_014310,RASD2,1.01,0.46,1,0.708
242523,Dmrta1,2.3333,0.33333,22.6667,21.53,17.31,12,12.14,20.57,13.28,NM_022160,DMRTA1,0.81,0.37,0,0.028945
72567,Bclaf1,1489,1518,4454,369.002,288.634,398.222,390.47,224.314,329.694,NM_001077440,BCLAF1,5.68,1.27,0,0.007867
12348,Car11,252.6667,237.3333,98,303.32,167.1,324.74,199.79,328.66,325.84,NM_001217,CA11,1.94,0.89,1,6.72e-07
107371,Exoc6,815.6667,916.3333,1301,51.2075,45.0625,37.135,35.4025,36.82,55.395,NM_001013848,EXOC6,2.49,0.51,1,0.84739
26572,Cops3,1589,1497.6667,1312.3333,550.2875,488.795,544.28,556.865,387.025,510.2925,NM_001199125,COPS3,16.03,1.94,1,0.00062501
15288,Hmbs,1224.6667,1179.6667,937.6667,329.31,288.01,199.28,342.5,304.1,585.185,NM_001258208,HMBS,2.23,0,1,0.00047662
218543,Srek1,759.6667,790.6667,1683.6667,187.888,139.85,139.018,208.61,115.95,170.958,NM_139168,SREK1,4.57,0.66,0,0.14845
108100,Baiap2,289.6667,225,823.6667,167.295,95.9425,129.3125,108.0375,124.8675,148.2875,NM_017450,BAIAP2,1.99,0.83,0,0.017675
68794,Flnc,350.6667,144.6667,137.3333,383.56,397.58,736.54,431.73,433.64,469.725,NM_001458,FLNC,11.89,5.66,1,7e-05
13175,Dclk1,46.6667,36,1123,340.2589,294.3567,237.0522,448.1133,246.0067,564.5756,NM_001195430,DCLK1,6.76,2.03,0,1.32e-13
