Entrez_ID,Gene,scBAT_counts,iBAT_counts,WAT_counts,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu
224019,Tmem191c,19.6667,19,116.6667,18.64,17.1425,18.3775,9.315,19.23,8.2425
224020,Pi4ka,5261.6667,4902,4319.3333,552.84,537.22,669.36,318.065,515.065,406.075
224022,Slc7a4,31,11.6667,46.6667,63.15,51.2467,41.3867,43.9367,76.9667,77.2167
224023,Klhl22,768.3333,717.6667,1145,602.6,608.51,750.835,460.09,604.825,470.335
224024,Scarf2,93,80.3333,306,93.8467,66.2867,105.7033,87.6333,103.0967,99.4233
224045,Eif2b5,1559.6667,1456.6667,1861.6667,120.59,200.62,116.415,140.14,136.9,124.7
224079,Atp13a4,0.33333,0.33333,0.33333,26.965,31.725,39.975,21.6,39.395,23.825
224088,Atp13a3,3049,2757.6667,4393.6667,647.1567,632.6433,561.95,506.85,361.4667,491.58
224090,Tmem44,148.6667,166,244.6667,10.8767,15.8333,11.2133,6.3767,17.2367,20.5933
224092,Lsg1,442.3333,372.6667,927,317.51,185.62,297.98,245.23,140.38,245.14
224093,Fam43a,704.6667,746,1796,222.34,114.09,128.49,91.19,153.34,117.07
224105,Pak2,2253,2057,4567,370.31,379.3433,393.3167,353.7433,216.9967,235.98
224111,Ubxn7,1049.6667,1100,2320.6667,241.105,274.24,283.375,409.62,263.5,213.15
224116,Muc20,2,0,1,27.84,31.98,35.485,15.805,42.86,23.875
224129,Adcy5,540.3333,225.3333,4062.6667,76.4375,58.2,51.815,40.5225,77.185,50.1175
224132,Dirc2,716.3333,655,1311.3333,238.6,266.83,279.39,186.245,184.62,158.405
224139,Golgb1,4076.3333,3988.3333,5533.3333,284.9,248.06,376.29,142.4133,227.2533,220.6233
224143,Poglut1,426,421,1563,451.63,414.99,419.18,279.36,266,417.2
224170,Dzip3,116.3333,116.3333,509,69.9167,58.795,53.03,68.2883,43.4367,62.2533
224171,C330027C09Rik,24.6667,24.6667,261.3333,24.605,21.515,19.76,46.805,9.59,20.13
224250,Cldn25,1072.6667,1092.3333,1166,223.0367,349.29,291.8133,204.8033,220.6,214.59
224273,Crybg3,460.3333,422.3333,678,80.2,71.39,80.28,78.19,47.24,36.79
224344,Rbm11,1,1,5.6667,22.82,11.26,1.39,11.34,22.6,15.19
224405,Cyyr1,513,601,607.3333,17.26,23.895,22.235,16.595,14.855,19.695
