Var1,Var2
1416299_at,39.11
1416300_a_at,8093.55
1416301_a_at,443.79
1416302_at,242.91
1416303_at,4278.8
1416304_at,1603.25
1416305_at,72.49
1416306_at,14.6
1416307_at,1054.63
1416308_at,10995.48
1416309_at,52.39
1416310_at,24.06
1416311_s_at,520.61
1416312_at,1795.79
1416313_at,1290.54
1416314_at,12.48
1416315_at,849.45
1416316_at,2.2
1416317_a_at,49.18
1416318_at,686.37
1416319_at,530.61
1416320_at,118.39
1416321_s_at,2546.62
1416322_at,491.83
1416323_at,193.69
1416324_s_at,758.66
1416325_at,9.65
1416326_at,3307.22
1416327_at,1133.33
1416328_a_at,6081.67
1416329_at,1784.39
1416330_at,8483.4
1416331_a_at,703.87
1416332_at,611.97
1416333_at,27.48
1416334_at,128.52
1416335_at,13096.56
1416336_s_at,2044.24
1416337_at,4466.8
1416338_at,385.78
1416339_a_at,2104.29
1416340_a_at,866.22
1416341_at,951.17
1416342_at,6382.78
1416343_a_at,766.56
1416344_at,2525.25
1416345_at,1864.02
1416346_at,1266.28
1416347_at,346.63
1416348_at,60.62
1416349_at,995.98
1416350_at,247.32
1416351_at,3137.54
1416352_s_at,902.11
1416353_at,561.47
1416354_at,45.8
1416355_at,7.7
1416356_at,265.7
1416357_a_at,130.44
1416358_at,300.8
1416359_at,2734.02
1416360_at,37.93
1416361_a_at,1.59
1416362_a_at,481.17
1416363_at,50.63
1416364_at,8953.35
1416365_at,729.28
1416366_at,4088.52
1416367_at,378.26
1416368_at,4049.71
1416369_at,379.08
1416370_at,246.11
1416371_at,303.92
1416372_at,408.19
1416373_at,875.46
1416374_at,137.12
1416375_at,45.3
1416376_at,214.78
1416377_at,121.19
1416378_at,439.44
1416379_at,216.63
1416380_at,254.57
1416381_a_at,7902.4
1416382_at,56.07
1416383_a_at,2861.73
1416384_a_at,3536.08
1416385_a_at,3160.33
1416386_a_at,361.3
1416387_at,496.74
1416388_at,3.35
1416389_a_at,608.46
1416390_at,65.5
1416391_at,61.19
1416392_a_at,5626.04
1416393_at,1695.29
1416394_at,3104.47
1416395_at,844.95
1416396_at,14.29
1416397_at,192.71
1416398_at,57.46
1416399_a_at,1237.86
1416400_at,151.56
1416401_at,370.83
1416402_at,78.96
1416403_at,14.26
1416404_s_at,17119.98
1416405_at,16804.84
1416406_at,278.03
1416407_at,695.17
1416408_at,2663.65
1416409_at,1412.71
1416410_at,606.7
1416411_at,5710.43
1416412_at,155.01
1416413_at,1
1416414_at,530.67
1416415_a_at,5509.65
1416416_x_at,6086.35
1416417_a_at,2261.2
1416418_at,1344.52
1416419_s_at,4738.01
1416420_a_at,16007.16
1416421_a_at,163.77
1416422_a_at,777.03
1416423_x_at,619.79
1416424_at,309.58
1416425_at,375.53
1416426_at,3309.52
1416427_at,2862.77
1416428_at,712.7
1416429_a_at,4923.55
1416430_at,4035.8
1416431_at,1822.68
1416432_at,2902.9
1416433_at,30.85
1416434_at,18.5
1416435_at,522.42
1416436_a_at,94.39
1416437_a_at,68.36
1416438_at,1058.89
1416439_at,457.91
1416440_at,6343.71
1416441_at,1803.85
1416442_at,1034.53
1416443_a_at,559.82
1416444_at,23.4
1416445_at,1062.77
1416446_at,804.19
1416447_at,254.21
1416448_at,637.98
1416449_x_at,119.12
1416450_at,72.66
1416451_s_at,134.79
1416452_at,2327.36
1416453_x_at,15836.67
1416454_s_at,1794.93
1416455_a_at,3985.55
1416456_a_at,15.87
1416457_at,313.07
1416458_at,330.62
1416459_at,26
1416460_at,2.09
1416461_at,1245.76
1416462_at,745.49
1416463_at,96.05
1416464_at,5.75
1416465_a_at,4157.45
1416466_at,4105.27
1416467_at,807.46
1416468_at,1397.88
1416469_at,424.22
1416470_a_at,1646.29
1416471_at,1347.89
1416472_at,1603.8
1416473_a_at,250.33
1416474_at,151.65
1416475_at,642.81
1416476_a_at,3438.81
