Var1,Var2
1416447_at,716.3
1416448_at,731.71
1416449_x_at,127.9
1416450_at,60.82
1416451_s_at,139.23
1416452_at,3687.74
1416453_x_at,16079.48
1416454_s_at,3012.31
1416455_a_at,1380.51
1416456_a_at,13.6
1416457_at,105.79
1416458_at,448.84
1416459_at,107.16
1416460_at,13.16
1416461_at,2642.59
1416462_at,1752.75
1416463_at,275.87
1416464_at,3.83
1416465_a_at,4920.35
1416466_at,7004.58
1416467_at,2385.17
1416468_at,3022.39
1416469_at,655.11
1416470_a_at,1296.59
1416471_at,1308.71
1416472_at,2739.36
1416473_a_at,386.87
1416474_at,200.07
1416475_at,626.64
1416476_a_at,4505.39
1416477_at,2711
1416478_a_at,7135.61
1416479_a_at,913.96
1416480_a_at,11815.16
1416481_s_at,1338.46
1416482_at,51.57
1416483_at,409.24
1416484_at,74.47
1416485_at,3828.7
1416486_at,1314.17
1416487_a_at,139.42
1416488_at,2732.56
1416489_at,1062.76
1416490_at,7.87
1416491_at,94.42
1416492_at,188.33
1416493_at,1391.59
1416494_at,2776.1
1416495_s_at,4892.39
1416496_at,6024.75
1416497_at,1419.88
1416498_at,2687.77
1416499_a_at,2744.57
1416500_at,1683.06
1416501_at,323.88
1416502_a_at,552.67
1416503_at,2074.69
1416504_at,68.99
1416505_at,3920.2
1416506_at,6735.04
1416507_at,42.88
1416508_at,2130.13
1416509_at,1506.96
1416510_at,1255.22
1416511_a_at,177.5
1416512_at,520.63
1416513_at,593.22
1416514_a_at,3105.97
1416515_at,24.89
1416516_at,26.81
1416517_at,193.54
1416518_at,18.87
1416519_at,12351.17
1416520_x_at,9127.05
1416521_at,319.57
1416522_a_at,2208.34
1416523_at,47.63
1416524_at,1478.16
1416525_at,171
1416526_a_at,1613.88
1416527_at,1166.09
1416528_at,1292.87
1416529_at,5170.97
1416530_a_at,6167.9
1416531_at,4543.64
1416532_at,393.2
1416533_at,393.86
1416534_at,839.11
1416535_at,261.06
1416536_at,245.42
1416537_at,496.1
1416538_at,133.82
1416539_at,41.86
1416540_at,723.87
1416541_at,435.72
1416542_at,168.62
1416543_at,2609.82
1416544_at,165.32
1416545_at,261.61
1416546_a_at,10724.99
1416547_at,5238.76
1416548_at,213.45
1416549_at,95.73
1416550_at,146.2
1416551_at,1281.46
1416552_at,31.45
1416553_at,394.28
1416554_at,1009.47
1416555_at,1681.21
1416556_at,3155.47
1416557_a_at,438.48
1416558_at,20.56
1416559_at,338.8
1416560_at,21.98
1416561_at,19.53
1416562_at,12.01
1416563_at,1400.43
1416564_at,8
1416565_at,9293.14
1416566_at,1946.67
1416567_s_at,2152.36
1416568_a_at,150.85
1416569_at,225.99
1416570_s_at,856.49
1416571_at,72.92
1416572_at,130.89
1416573_at,294.92
1416574_at,897.63
1416575_at,41.31
1416576_at,164.24
1416577_a_at,3326.2
1416578_at,429.23
1416579_a_at,16.74
1416580_a_at,1700.97
1416581_at,368.32
1416582_a_at,676.6
1416583_at,618.1
1416584_at,265.87
1416585_at,560.1
1416586_at,88.62
1416587_a_at,267.01
1416588_at,373.19
1416589_at,13151.9
1416590_a_at,2039.79
1416591_at,2825.49
1416592_at,4397.96
1416593_at,2293.39
1416594_at,508.12
1416595_at,1364.18
1416596_at,15.77
1416597_at,210.5
1416598_at,175.64
1416599_at,187.39
1416600_a_at,382.32
1416601_a_at,37.53
1416602_a_at,139.92
1416603_at,6313.26
1416604_at,5334.18
1416605_at,1043.35
1416606_s_at,1841.76
1416607_at,3371.25
1416608_a_at,1265.5
1416609_at,1783.09
1416610_a_at,248.1
1416611_at,493.19
1416612_at,2218.55
1416613_at,206.12
1416614_at,1540.86
1416615_at,1086.88
1416616_s_at,1209.86
1416617_at,9.15
1416618_at,108.74
1416619_at,190.62
1416620_at,166.19
1416621_at,599.27
1416622_at,278.71
1416623_at,40.37
1416624_a_at,16852.01
1416625_at,2692.07
1416626_at,16.62
1416627_at,30.26
1416628_at,342.98
1416629_at,626.11
1416630_at,3575.62
1416631_at,237.72
1416632_at,6706.57
1416633_a_at,1537.61
1416634_at,857.62
1416635_at,2580.62
1416636_at,6425.03
1416637_at,184.78
1416638_at,382.44
1416639_at,70.68
1416640_at,12.62
1416641_at,76.45
1416642_a_at,21857.5
1416643_at,7.69
1416644_a_at,17.39
1416645_a_at,7.86
1416646_at,14.81
1416647_at,1178.08
1416648_at,1446.48
1416649_at,5.88
1416650_at,3.55
1416651_at,390.29
1416652_at,506.36
1416653_at,552.42
1416654_at,105.36
1416655_at,584.42
1416656_at,1151.56
1416657_at,1433.65
1416658_at,19.62
1416659_at,4144.96
1416660_at,118.43
1416661_at,306.97
1416662_at,174.89
1416663_at,3507.34
1416664_at,155.51
1416665_at,460.55
1416666_at,3359.33
1416667_at,950.6
1416668_at,5052.59
1416669_s_at,12130.4
1416670_at,4.02
1416671_a_at,213.65
1416672_s_at,274.96
1416673_at,90.54
1416674_at,30.16
1416675_s_at,203.45
1416676_at,85.83
1416677_at,53.75
1416678_at,2166.67
1416679_at,1283.32
1416680_at,852.12
1416681_at,231.71
1416682_at,185.74
1416683_at,593.59
1416684_at,1239.03
1416685_s_at,1600.62
1416686_at,1149.76
1416687_at,1354.63
1416688_at,19.68
1416689_at,64.97
1416690_at,678.4
1416691_at,137.18
1416692_at,165.68
1416693_at,338.3
1416694_at,6.71
1416695_at,5408.81
1416696_at,619.4
1416697_at,5.44
1416698_a_at,1774.96
1416699_at,3777.89
1416700_at,717.09
1416701_at,196.37
1416702_at,38.2
1416703_at,1389.37
1416704_at,49.27
1416705_at,1173.27
1416706_at,931.68
1416707_a_at,1
1416708_a_at,264.02
1416709_a_at,598.76
1416710_at,17.13
1416711_at,20.9
1416712_at,877.09
1416713_at,73.5
1416714_at,30.83
1416715_at,54.75
1416716_at,44.85
1416717_at,3.15
1416718_at,10.65
1416719_a_at,12784.55
1416720_at,310.71
1416721_s_at,500.06
1416722_at,474.36
1416723_at,870.04
1416724_x_at,528.88
1416725_at,20.59
1416726_s_at,933.16
1416727_a_at,15143.15
1416728_at,1805.25
1416729_at,13.19
1416730_at,996.39
1416731_at,789.6
1416732_at,184.45
1416733_at,795.41
1416734_at,14.35
1416735_at,1650.41
1416736_at,282.7
1416737_at,952.32
1416738_at,255.25
1416739_a_at,65.28
1416740_at,1817.99
1416741_at,39.46
1416742_at,1425.63
1416743_at,10498.18
1416744_at,685.75
1416745_x_at,1131.76
1416746_at,204.75
1416747_at,684.58
1416748_a_at,139.3
1416749_at,1240.44
1416750_at,1146.7
1416751_a_at,307.64
1416752_at,1.79
1416753_at,76.82
1416754_at,5.73
1416755_at,1360.97
1416756_at,1837.11
1416757_at,63.45
1416758_at,10.08
1416759_at,86.3
1416760_at,136.19
1416761_at,37.95
1416762_at,5050
1416763_at,436.65
1416764_at,1842.79
1416765_s_at,3209.34
1416766_at,2977.22
1416767_a_at,4823.67
1416768_at,4033.09
1416769_s_at,593.72
1416770_at,387.69
1416771_at,244.15
1416772_at,1388.2
1416773_at,285.66
1416774_at,147.67
1416775_at,72.23
1416776_at,7.17
1416777_at,13.72
1416778_at,2664.62
1416779_at,861.18
1416780_at,374.45
1416781_at,236.19
1416782_s_at,479.99
1416783_at,80.97
1416784_at,26.21
1416785_at,40.36
1416786_at,61.48
1416787_at,56.34
1416788_a_at,4764.51
1416789_at,4104.74
1416790_a_at,883.28
1416791_a_at,926.25
1416792_at,647.55
1416793_at,1945.93
1416794_at,558.68
1416795_at,44.18
1416796_at,171.96
1416797_at,76.76
1416798_a_at,104.65
1416799_at,642.66
1416800_at,240.25
1416801_at,147.78
1416802_a_at,244.02
1416803_at,1776.09
1416804_at,243.49
1416805_at,727.32
1416806_at,139.28
1416807_at,9087.52
1416808_at,14176.03
1416809_at,12.09
1416810_at,745.59
1416811_s_at,7457.2
1416812_at,431.58
1416813_at,239.15
1416814_at,210.14
1416815_s_at,1670.33
1416816_at,2289.51
1416817_at,402.78
1416818_at,420.29
1416819_at,1362.74
1416820_at,56.23
1416821_at,240.66
1416822_at,34.16
1416823_a_at,468.4
1416824_at,609.27
1416825_at,404.62
1416826_a_at,1190.54
1416827_at,41.06
1416828_at,10.21
1416829_at,14555.42
1416830_at,1124.78
1416831_at,192.16
1416832_at,323.62
1416833_at,13.16
1416834_x_at,1927.6
1416835_s_at,1194.95
1416836_at,1790.68
1416837_at,368.79
1416838_at,1741.44
1416839_at,88.89
1416840_at,808.85
1416841_at,561.7
1416842_at,1307.44
1416843_at,279.98
1416844_at,223.54
1416845_at,216.83
1416846_a_at,2404.56
1416847_s_at,30.35
1416848_at,4759.52
1416849_at,1925.95
1416850_s_at,3419.63
1416851_at,22.98
1416852_a_at,284.51
1416853_at,101.37
1416854_at,27.62
1416855_at,2790.46
1416856_at,2528.34
1416857_at,2176.35
1416858_a_at,1826
1416859_at,887.32
1416860_s_at,1023.35
1416861_at,877.89
1416862_at,264.45
1416863_at,70.39
1416864_at,374.39
1416865_at,160.17
1416866_at,464.04
1416867_at,442.19
1416868_at,1846.98
1416869_x_at,67.9
1416870_at,305.53
1416871_at,116.28
1416872_at,275.72
1416873_a_at,275.5
1416874_a_at,393.66
1416875_at,9.6
1416876_at,56.73
1416877_a_at,3223.32
1416878_at,120.19
1416879_at,87.77
1416880_at,2308.53
1416881_at,1928.93
1416882_at,389.37
1416883_at,815.86
1416884_at,2941.77
1416885_at,317.96
1416886_at,46.91
1416887_at,4.71
1416888_at,125.69
1416889_at,5.44
1416890_at,1051.64
1416891_at,606.53
1416892_s_at,451.15
1416893_at,175.18
1416894_at,231.23
1416895_at,12.33
1416896_at,52.19
1416897_at,923.52
1416898_a_at,195.6
1416899_at,1
1416900_s_at,8
1416901_at,13254.28
1416902_a_at,7328.24
1416903_at,1239.61
1416904_at,6062.11
1416905_at,14.82
1416906_at,1211.63
1416907_at,645.75
1416908_s_at,2093.77
1416909_at,360.98
1416910_at,2083.63
1416911_a_at,1283.55
1416912_at,2005.92
1416913_at,8.28
1416914_s_at,319.06
1416915_at,303.99
1416916_at,27.54
1416917_at,1385.76
1416918_at,316.32
1416919_a_at,246.07
1416920_at,331.02
1416921_x_at,16519.8
1416922_a_at,4696.61
1416923_a_at,2125.19
1416924_at,3812.28
1416925_at,1175.49
1416926_at,8383.22
1416927_at,68.13
1416928_at,418.55
1416929_at,74.67
1416930_at,33.72
1416931_at,389.62
1416932_at,355.52
1416933_at,2044.14
1416934_at,560.55
1416935_at,578.58
1416936_at,29.31
1416937_at,6477.04
1416938_at,2023.3
1416939_at,6388.13
1416940_at,400.86
1416941_s_at,5684.53
1416942_at,228.67
1416943_at,2655.53
1416944_a_at,437.47
1416945_at,93.12
1416946_a_at,906.75
1416947_s_at,1543.85
1416948_at,1089.06
1416949_s_at,858.27
1416950_at,777.75
