mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_iBAT_mean_count,mouse_scBATvsWAT_Log_Ratio,mouse_scBATvsWAT_Pvalue,mouse_scBATvsiBAT_Log_Ratio,mouse_scBATvsiBAT_Pvalue,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_Log_Ratio
18105,Nqo2,919,793.6667,1090.6667,0.89402,0.0073428,-0.30701,0.04007,NM_000904,NQO2,47.18,22.26,1.08
228869,Ncoa5,382,1114,334,-0.77516,0.02393,0.12242,0.49789,NM_020967,NCOA5,12.77,6.07,1.07
215193,Diexf,302,657,257.6667,-0.35102,0.35797,0.15655,0.46491,NM_014388,DIEXF,13.49,6.43,1.07
245000,Atr,532.6667,1515,483.3333,-0.73104,0.03122,0.07297,0.58354,NM_001184,ATR,10.19,4.95,1.04
14160,Lgr5,0.33333,15.3333,1,-4.4273,2.87e-05,-1.3475,0.6374,NM_003667,LGR5,2.25,0.09,4.63
269959,Adamtsl3,453.6667,154.6667,644.6667,2.2057,3.11e-07,-0.59233,0.0085129,NM_207517,ADAMTSL3,1.6,0.41,1.97
56458,Foxo1,2829,4169,2308,0.17742,0.56896,0.20988,0.33475,NM_002015,FOXO1,37.87,17.27,1.13
68493,Ndufaf4,1555.6667,705.3333,1541.3333,1.8521,2.72e-10,-0.052859,0.67837,NM_014165,NDUFAF4,22.66,10.95,1.05
74230,1700016K19Rik,0,5.3333,0,-5.0583,0.0070035,-Inf,1,NM_001013672,C17orf97,3.17,0.75,2.08
13211,Dhx9,2295.6667,6011,2073.6667,-0.6387,0.028095,0.076716,0.56011,NM_001357,DHX9,58.71,27.59,1.09
110052,Dek,787,2771,744.6667,-1.0309,0.0027056,0.015596,0.9123,NM_003472,DEK,69.35,33.49,1.05
224092,Lsg1,442.3333,927,372.6667,-0.29645,0.38991,0.17717,0.24964,NM_018385,LSG1,13.6,6.73,1.02
22003,Tpm1,4871,2127.6667,2674,1.9347,1.72e-07,0.80714,0.0047982,NM_001018006,TPM1,293.41,78.92,1.89
240641,Kif20b,29,380,30.3333,-2.8832,3.72e-06,-0.12788,0.72126,NM_016195,KIF20B,4.6,1.97,1.22
171180,Syt12,843,807.3333,670.3333,0.68489,0.12795,0.24628,0.35059,NM_177963,SYT12,1.32,0.06,4.38
15519,Hsp90aa1,2396.3333,4845,2558.3333,-0.28857,0.2967,-0.16133,0.19869,NM_005348,HSP90AA1,NaN,174.97,1.49
64009,Syne1,1116,2896.6667,1100,-0.6675,0.017928,-0.049816,0.69736,NM_182961,SYNE1,4.3,1.97,1.12
269254,Setx,1751.3333,5535.3333,1590.6667,-0.86995,0.012974,0.072009,0.55113,NM_015046,SETX,18.5,9.2,1.01
235472,Prtg,9.3333,26.6667,9.6667,-0.77273,0.19198,-0.1133,0.83929,NM_173814,PRTG,0.92,0.28,1.73
68904,Abhd13,1041.6667,1402.6667,1021,0.28903,0.30468,-0.042698,0.73298,NM_032859,ABHD13,5.87,2.51,1.23
218820,Zfp503,369,883.6667,327.3333,-0.61711,0.13401,0.0966,0.61737,NM_032772,ZNF503,15.99,7.25,1.14
238055,Apob,5,1.6667,1.3333,2.1833,0.02906,1.7435,0.03422,NM_000384,APOB,1.1,0.37,1.59
16477,Junb,332,1255.6667,401,-1.1022,0.011857,-0.33024,0.12529,NM_002229,JUNB,14.62,6.54,1.16
11364,Acadm,31336,9465,32345,2.3716,5.49e-10,-0.11087,0.36497,NM_000016,ACADM,63.9,29.64,1.11
94187,Zfp423,303.6667,894.3333,207,-0.91404,0.037261,0.49266,0.018215,NM_015069,ZNF423,5.39,2.21,1.29
109181,Trip11,1091.3333,1661.3333,1061.3333,0.11969,0.66755,-0.025759,0.83997,NM_004239,TRIP11,9.43,4.61,1.03
58212,Srrm3,1.3333,0.66667,4.3333,1.5299,0.27431,-1.6741,0.078013,NM_001110199,SRRM3,0.95,0.07,3.82
71733,Susd2,56.3333,341.3333,22,-1.8306,0.0022999,1.2447,0.010158,NM_019601,SUSD2,1.52,0.33,2.21
223732,Ldoc1l,16,372,13.3333,-3.747,5.92e-12,0.1925,0.67515,NM_032287,LDOC1L,11.44,5.64,1.02
71287,Cpvl,0,0.66667,0.33333,-2.3895,0.52682,-1.9005,1,NM_031311,CPVL,13.29,5.24,1.34
380601,Fastkd5,291.3333,321.6667,239,0.60978,0.11182,0.21358,0.27883,NM_021826,FASTKD5,13.6,6.16,1.14
381290,Atp2b4,660,5732,627.3333,-2.4886,2.4e-09,0.0059176,0.96778,NM_001684,ATP2B4,46.82,21.42,1.13
11553,Adra2c,10.3333,13,11.3333,0.34967,0.60825,-0.19491,0.68369,NM_000683,ADRA2C,2.36,0.1,4.55
12716,Ckmt1,85.3333,2,3,5.9939,1.97e-09,4.6567,4.6e-09,NM_001015001,CKMT1A,2.88,0.5,2.52
20725,Serpinb8,52.3333,288.3333,28.6667,-1.7603,6.79e-05,0.79926,0.011028,NM_001276490,SERPINB8,12.56,5.51,1.19
18605,Enpp1,19.6667,357,23.6667,-3.353,1.86e-06,-0.3341,0.3952,NM_006208,ENPP1,10.32,5.07,1.03
244958,Mrap2,0.66667,1.6667,0,-0.53451,1,2.6338,0.50701,NM_138409,MRAP2,2.27,0.51,2.16
71340,Riok1,276,845.6667,252.6667,-0.83949,0.024543,0.057258,0.77696,NM_031480,RIOK1,31.92,14.95,1.09
