ID,Gene Symbol,ENTREZ_GENE_ID
1416001_a_at,Cotl1,72042
1416002_x_at,Cotl1,72042
1416003_at,Cldn11,18417
1416004_at,Ywhah,22629
1416005_at,Psmc1,19179
1416006_at,Mdk,17242
1416007_at,Satb1,20230
1416008_at,Satb1,20230
1416009_at,Tspan3,56434
1416010_a_at,Ehd1,13660
1416011_x_at,Ehd1,13660
1416012_at,Ehd1,13660
1416013_at,Pld3,18807
1416014_at,Abce1,24015
1416015_s_at,Abce1,24015
1416016_at,Tap1,21354
1416017_at,Copg1,54161
1416018_at,Dr1,13486
1416019_at,Dr1,13486
1416020_a_at,Atp5g1,11951
1416021_a_at,Fabp5,16592
1416022_at,Fabp5,16592
1416023_at,Fabp3,14077
1416024_x_at,Cct3,12462
1416025_at,Fgg,99571
1416026_a_at,LOC102635048 /// Rpl12,269261 /// 102635048
1416027_at,Pdcd6,18570
1416028_a_at,Hn1,15374
1416029_at,Klf10,21847
1416030_a_at,Mcm7,17220
1416031_s_at,Mcm7,17220
1416032_at,Tmem109,68539
1416033_at,Tmem109,68539
1416034_at,Cd24a,12484
1416035_at,Hif1a,15251
1416036_at,Fkbp1a,14225
1416037_a_at,Cct2,12461
1416038_at,Snd1,56463
1416039_x_at,Cyr61,16007
1416040_at,Lipf,67717
1416041_at,Sgk1,20393
1416042_s_at,Nasp,50927
1416043_at,Nasp,50927
1416044_at,Flii,14248
1416045_a_at,Smarcb1,20587
1416046_a_at,Fuca2,66848
1416047_at,Fuca2,66848
1416048_at,Phc2,54383
1416049_at,Gldc,104174
1416050_a_at,Scarb1,20778
1416051_at,C2,12263
1416052_at,Prps1,19139
1416053_at,Lrrn1,16979
1416054_at,Rps5,20103
1416055_at,Amy2a1 /// Amy2a2 /// Amy2a3 /// Amy2a4 /// Amy2a5,109959 /// 100043207 /// 100043684 /// 100043686 /// 100043688
1416056_a_at,Ndufb11,104130
1416057_at,Ndufb11,104130
1416058_s_at,Atp5c1,11949
1416059_at,Sec23b,27054
1416060_at,Tbc1d15,66687
1416061_at,Tbc1d15,66687
1416062_at,Tbc1d15,66687
1416063_x_at,Ceacam11,66996
1416064_a_at,Hspa5,14828
1416065_a_at,Ankrd10,102334
1416066_at,Cd9,12527
1416067_at,Ifrd1,15982
1416068_at,Kars,85305
1416069_at,Pfkp,56421
1416070_a_at,Ddx18,66942
1416071_at,Ddx18,66942
1416072_at,Cd34,12490
1416073_a_at,Nup85,445007
1416074_a_at,Gm10051 /// Rpl28,19943 /// 100039731
1416075_at,Sav1,64010
1416076_at,Ccnb1 /// Gm5593,268697 /// 434175
1416077_at,Adm,11535
1416078_s_at,Raf1,110157
1416079_a_at,Arpc1a,56443
1416080_at,Adam15,11490
1416081_at,Smad1,17125
1416082_at,Rab1,19324
1416083_at,Zfand5,22682
1416084_at,Zfand5,22682
1416085_s_at,Zfand5,22682
1416086_at,Tpst2,22022
1416087_at,Ap1s1,11769
1416088_a_at,Rps15,20054
1416089_at,Rps15,20054
1416090_at,Pdhb,68263
1416091_at,Map4,17758
1416092_a_at,Map4,17758
1416093_a_at,Mrpl20,66448
1416094_at,Adam9,11502
1416095_x_at,Sarnp,66118
1416096_at,Vipas39,104799
1416097_at,Lrrc4,192198
1416098_at,Syngr3,20974
1416099_at,Rpl27,19942
1416100_at,Eif3d,55944
1416101_a_at,Hist1h1c,50708
1416102_at,Ywhaz,22631
1416103_at,Ywhaz,22631
1416104_at,Mpdu1,24070
1416105_at,Nnt,18115
1416106_at,Kti12,100087
1416107_at,Nsg2,18197
1416108_a_at,Tmed3,66111
1416109_at,Fuca1,71665
1416110_at,Slc35a4,67843
1416111_at,Cd83,12522
1416112_at,Cox8a,12868
1416113_at,Fkbp8,14232
1416114_at,Sparcl1,13602
1416115_at,Orc3,50793
1416116_at,Orc3,50793
1416117_at,Orc3,50793
1416118_at,Trim59,66949
1416119_at,Txn1,22166
1416120_at,Rrm2,20135
1416121_at,Lox,16948
1416122_at,Ccnd2,12444
1416123_at,Ccnd2,12444
1416124_at,Ccnd2,12444
1416125_at,Fkbp5,14229
1416126_at,Polr1b,20017
1416127_a_at,Dnpep,13437
1416128_at,Gm6682 /// Tuba1c,22146 /// 626534
1416129_at,Errfi1,74155
1416130_at,Prnp,19122
1416131_s_at,Efr3a,76740
1416132_at,Efr3a,76740
1416133_at,Efr3a,76740
1416134_at,Aplp1,11803
1416135_at,Apex1,11792
1416136_at,Mmp2,17390
1416137_at,Anxa7,11750
1416138_at,Anxa7,11750
1416139_at,Reg2,19693
1416140_a_at,Dhx30,72831
1416141_a_at,Rps6 /// Rps6-ps4,20104 /// 667739
1416142_at,Rps6,20104
1416143_at,Atp5j,11957
1416144_a_at,Dhx15,13204
1416145_at,Dhx15,13204
1416146_at,Hspa4,15525
1416147_at,Hspa4,15525
1416148_at,Laptm4b,114128
1416149_at,Olig1,50914
1416150_a_at,Srsf3,20383
1416151_at,Srsf3,20383
1416152_a_at,Srsf3,20383
1416153_at,Srp54a /// Srp54b /// Srp54c,24067 /// 665155 /// 100101806
1416154_at,Srp54a /// Srp54b,24067 /// 665155
1416155_at,Hmgb3,15354
1416156_at,Vcl,22330
1416157_at,Vcl,22330
1416158_at,Nr2f2,11819
1416159_at,Nr2f2,11819
1416160_at,Nr2f2,11819
1416161_at,Rad21,19357
1416162_at,Rad21,19357
1416163_at,Cops4,26891
1416164_at,Fbln5,23876
1416165_at,Rab31,106572
1416166_a_at,Prdx4,53381
1416167_at,Prdx4,53381
1416168_at,Serpinf1,20317
1416169_at,Tpbpb,116913
1416170_at,Trap1,68015
1416171_at,Kansl2,69612
1416172_at,Pes1,64934
1416173_at,Pes1,64934
1416174_at,Rbbp9,26450
1416175_a_at,Vdac3,22335
1416176_at,Gm21596 /// Gm6115 /// Hmgb1,15289 /// 619937 /// 100862258
1416177_at,Rbmxl1,19656
1416178_a_at,Plekhb1,27276
1416179_a_at,Rdx,19684
1416180_a_at,Rdx,19684
1416181_at,Mesdc2,67943
1416182_at,Apba3,57267
1416183_a_at,Ldhb,16832
1416184_s_at,Hmga1 /// Hmga1-rs1,15361 /// 111241
1416185_a_at,Adh5,11532
1416186_at,Pnrc2,52830
1416187_s_at,Pnrc2,52830
1416188_at,Gm2a,14667
1416189_a_at,Sec61a1,53421
1416190_a_at,Sec61a1,53421
1416191_at,Sec61a1,53421
1416192_at,Napa,108124
1416193_at,Car1,12346
1416194_at,Cyp4b1,13120
1416195_at,Inpp5k,19062
1416196_at,Rpsa,16785
1416197_at,Snrpc,20630
1416198_at,Nelfcd,57314
1416199_at,Kifc3,16582
1416200_at,Il33,77125
1416201_at,Crk,12928
1416202_at,Phb2,12034
1416203_at,Aqp1,11826
1416204_at,Gpd1,14555
1416205_at,Glb1,12091
1416206_at,Sipa1,20469
1416207_at,Taz,66826
1416208_at,Usp14,59025
1416209_at,Glud1,14661
1416210_at,Imp3,102462
1416211_a_at,Ptn,19242
1416212_at,Magoh,17149
1416213_x_at,Surf4,20932
1416214_at,Mcm4,17217
1416215_at,Gosr1,53334
1416216_at,Reps1,19707
1416217_a_at,Rpl37a,19981
1416218_x_at,Rpl37a,19981
1416219_at,Rpl19,19921
1416220_at,Spcs1,69019
1416221_at,Fstl1,14314
1416222_at,Nsdhl,18194
1416223_at,Sh3bp5l,79566
1416224_at,Zbtb17,22642
1416225_at,Adh1,11522
1416226_at,Arpc1b /// Gm5637,11867 /// 434782
1416227_at,Arpc1b /// Gm5637,11867 /// 434782
1416228_at,Pin1,23988
1416229_at,Rfk,54391
1416230_at,Rfk,54391
1416231_at,Vac14,234729
1416232_at,Olig2,50913
1416233_at,Eif3i,54709
1416234_at,Lrrc59,98238
1416235_at,Lrrc59,98238
1416236_a_at,Mpzl2,14012
1416237_at,Mpzl2,14012
1416238_at,Tie1,21846
1416239_at,Ass1 /// Gm5424,11898 /// 432466
1416240_at,Psmb7,19177
1416241_at,Sec13,110379
1416242_at,Klhl13,67455
1416243_a_at,Rpl35,66489
1416244_a_at,Cnbp,12785
1416245_at,Aurkaip1,66077
1416246_a_at,Coro1a,12721
1416247_at,Dctn3,53598
1416248_at,Nadk,192185
1416249_at,Nadk,192185
1416250_at,Btg2,12227
1416251_at,Mcm6,17219
1416252_at,Stk38,106504
1416253_at,Cdkn2d,12581
1416254_a_at,Vps16,80743
1416255_at,Gja4,14612
1416256_a_at,Tubb5,22154
1416257_at,Capn2,12334
1416258_at,Tk1,21877
1416259_at,Pex12,103737
1416260_a_at,Snx1,56440
1416261_at,Tmem19,67226
1416262_at,Tmem19,67226
1416263_at,Abcb9,56325
1416264_at,Abcb9,56325
1416265_at,Capn10,23830
1416266_at,Pdyn,18610
1416267_at,Scoc,56367
1416268_at,Ets2,23872
1416269_at,Atp5j2,57423
1416270_at,Polr2g,67710
1416271_at,Perp,64058
1416272_at,Lamtor3,56692
1416273_at,Tnfaip2,21928
1416274_at,Ctns,83429
1416275_at,Slc26a6,171429
1416276_a_at,Rps4x,20102
1416277_a_at,Gm13777 /// Rplp1,56040 /// 279067
1416278_a_at,Atp5o,28080
1416279_at,Ap1b1,11764
1416280_at,Uba2,50995
1416281_at,Wdr45b,66840
1416282_at,Psmc3,19182
1416283_at,Gart,14450
1416284_at,Mrpl28,68611
1416285_at,Ndufc1,66377
1416286_at,Rgs4,19736
1416287_at,Rgs4,19736
1416288_at,Dnaja1,15502
1416289_at,Plod1,18822
1416290_a_at,Psmc4,23996
1416291_at,Psmc4,23996
1416292_at,Prdx3,11757
1416293_at,Nfib,18028
1416294_at,Scamp3,24045
1416295_a_at,Il2rg,16186
1416296_at,Il2rg,16186
1416297_s_at,Reg3b,18489
1416298_at,Mmp9,17395
1416299_at,Shcbp1,20419
1416300_a_at,Slc25a3,18674
1416301_a_at,Ebf1,13591
1416302_at,Ebf1,13591
1416303_at,Litaf,56722
1416304_at,Litaf,56722
1416305_at,Sh3bp4,98402
1416306_at,Clca3,23844
1416307_at,Ap1m1,11767
1416308_at,Ugdh,22235
1416309_at,Nusap1,108907
1416310_at,Nusap1,108907
1416311_s_at,Tuba3a /// Tuba3b,22144 /// 22147
1416312_at,Rars,104458
1416313_at,Mllt11,56772
1416314_at,Mllt11,56772
1416315_at,Abhd4,105501
1416316_at,Slc27a2,26458
1416317_a_at,Stambp,70527
1416318_at,Serpinb1a,66222
1416319_at,Adk,11534
1416320_at,Sec22a,317717
1416321_s_at,Prelp,116847
