Var1,Var2
1416133_at,1077.3
1416134_at,168.85
1416135_at,784.11
1416136_at,9791.41
1416137_at,363.94
1416138_at,1941.64
1416139_at,58.16
1416140_a_at,844.69
1416141_a_at,16322.3
1416142_at,436.3
1416143_at,3978.22
1416144_a_at,3528.49
1416145_at,4509.03
1416146_at,4760.45
1416147_at,15.3
1416148_at,2371.12
1416149_at,13.13
1416150_a_at,2261.13
1416151_at,427.6
1416152_a_at,316.35
1416153_at,5722.71
1416154_at,58.38
1416155_at,58.47
1416156_at,2323.46
1416157_at,29.04
1416158_at,195.46
1416159_at,1503.82
1416160_at,84.93
1416161_at,1515.79
1416162_at,88.05
1416163_at,910.94
1416164_at,593.83
1416165_at,1076.07
1416166_a_at,477.43
1416167_at,3050.69
1416168_at,18446.54
1416169_at,22.02
1416170_at,639.58
1416171_at,1706.56
1416172_at,1073.76
1416173_at,42.67
1416174_at,224.58
1416175_a_at,4420.34
1416176_at,1176.72
1416177_at,2038.58
1416178_a_at,46.03
1416179_a_at,1106.93
1416180_a_at,271.65
1416181_at,2384.02
1416182_at,604.98
1416183_a_at,684.83
1416184_s_at,2459.12
1416185_a_at,2876.62
1416186_at,1120.99
1416187_s_at,711.53
1416188_at,215.03
1416189_a_at,2290.73
1416190_a_at,154.83
1416191_at,222.18
1416192_at,507.67
1416193_at,31.33
1416194_at,244.31
1416195_at,397.14
1416196_at,2.79
1416197_at,810.45
1416198_at,160.45
1416199_at,316.96
1416200_at,3424.22
1416201_at,769.26
1416202_at,2589.24
1416203_at,569.77
1416204_at,17.5
1416205_at,644.1
1416206_at,103.9
1416207_at,560.12
1416208_at,1006.11
1416209_at,2192.97
1416210_at,2274.38
1416211_a_at,2.62
1416212_at,2049.11
1416213_x_at,1618.5
1416214_at,278.57
1416215_at,478.05
1416216_at,396.76
1416217_a_at,14298.39
1416218_x_at,236.27
1416219_at,17166.35
1416220_at,3704.2
1416221_at,10756.32
1416222_at,222.27
1416223_at,181.95
1416224_at,203.87
1416225_at,199.96
1416226_at,1571.22
1416227_at,115.96
1416228_at,787.29
1416229_at,444.69
1416230_at,932.31
1416231_at,73.65
1416232_at,13.84
1416233_at,5153.11
1416234_at,5324.22
1416235_at,504.71
1416236_a_at,62.01
1416237_at,22.83
1416238_at,14.74
1416239_at,1151.72
1416240_at,959.36
1416241_at,1549.21
1416242_at,9.15
1416243_a_at,12272.3
1416244_a_at,8139.09
1416245_at,1230.26
1416246_a_at,35.04
1416247_at,2737.07
1416248_at,1195.81
1416249_at,351.46
1416250_at,3449.47
1416251_at,87.77
1416252_at,734.26
1416253_at,392.31
1416254_a_at,396.02
1416255_at,14.87
1416256_a_at,11057.73
1416257_at,1730.67
1416258_at,120.99
1416259_at,211.24
1416260_a_at,1191.23
1416261_at,767.38
1416262_at,250.78
1416263_at,42.43
1416264_at,101.39
1416265_at,80.42
1416266_at,18.41
1416267_at,1852.34
1416268_at,5211.69
1416269_at,2272.97
1416270_at,1229.35
1416271_at,2.87
1416272_at,1685.34
1416273_at,1513.45
1416274_at,134.45
1416275_at,75.52
1416276_a_at,16754.69
1416277_a_at,17501.66
1416278_a_at,3021.73
1416279_at,255.67
1416280_at,1588.73
1416281_at,1482.17
1416282_at,1458.38
1416283_at,541.93
1416284_at,464.96
1416285_at,951.81
1416286_at,182.4
1416287_at,54.69
1416288_at,3914.27
1416289_at,1635.83
1416290_a_at,1803.81
1416291_at,1198.61
1416292_at,1762.19
1416293_at,64.91
1416294_at,507.98
1416295_a_at,4.93
1416296_at,28.78
1416297_s_at,35.31
1416298_at,94.53
1416299_at,23.97
1416300_a_at,9628.07
1416301_a_at,504.38
1416302_at,271.7
1416303_at,6236.47
1416304_at,2709.91
1416305_at,112.41
1416306_at,16.51
1416307_at,1857.12
1416308_at,13569.58
1416309_at,29.18
1416310_at,13.46
1416311_s_at,287.56
1416312_at,2044.23
1416313_at,867.58
1416314_at,18.28
1416315_at,1088.79
1416316_at,6.3
1416317_a_at,156.2
1416318_at,271.34
1416319_at,355.06
1416320_at,229.16
1416321_s_at,1403.39
1416322_at,220.34
1416323_at,231.72
1416324_s_at,1159.51
1416325_at,8.82
1416326_at,1508.04
1416327_at,826.74
1416328_a_at,3500.3
1416329_at,3246.2
1416330_at,10622.11
1416331_a_at,1769.56
1416332_at,818.94
1416333_at,16.31
1416334_at,97.36
1416335_at,14286.34
1416336_s_at,890.13
1416337_at,1413.62
1416338_at,472.03
1416339_a_at,3077.61
1416340_a_at,952.77
1416341_at,851.21
1416342_at,6428.07
1416343_a_at,2410.43
1416344_at,7339.36
1416345_at,1037.28
1416346_at,546.23
1416347_at,285.27
1416348_at,95.95
1416349_at,386.35
1416350_at,310.69
1416351_at,5861.38
1416352_s_at,820.13
1416353_at,504.12
1416354_at,52.38
1416355_at,29.15
1416356_at,297.13
1416357_a_at,30.77
1416358_at,199.79
1416359_at,5654.73
1416360_at,475.82
1416361_a_at,25.36
1416362_a_at,401.28
1416363_at,63.3
1416364_at,12274.73
1416365_at,5388.09
1416366_at,2570.51
1416367_at,177.36
1416368_at,51.86
1416369_at,693.74
1416370_at,316.73
1416371_at,140
1416372_at,428.5
1416373_at,799.22
1416374_at,170.11
1416375_at,60.74
1416376_at,290.71
1416377_at,173.36
1416378_at,418.13
1416379_at,320.88
1416380_at,205.14
1416381_a_at,6973.8
1416382_at,569.05
1416383_a_at,1577.73
1416384_a_at,2735.07
1416385_a_at,4770.71
1416386_a_at,1012.69
1416387_at,653.03
1416388_at,27.06
1416389_a_at,420.7
1416390_at,55.16
1416391_at,78.84
1416392_a_at,7099.23
1416393_at,1492.69
1416394_at,4790.7
1416395_at,448.72
1416396_at,6.63
1416397_at,111.12
1416398_at,105.17
1416399_a_at,2053.05
1416400_at,100.66
1416401_at,237.79
1416402_at,121.04
1416403_at,35.04
1416404_s_at,18460.26
1416405_at,19293.81
1416406_at,395.39
1416407_at,965.71
1416408_at,2351.5
1416409_at,2091.2
1416410_at,543.16
1416411_at,4666.11
1416412_at,205.56
1416413_at,1
1416414_at,690.34
1416415_a_at,3416.19
1416416_x_at,3747.07
1416417_a_at,1281.06
1416418_at,693.36
1416419_s_at,5181.4
1416420_a_at,15875.95
1416421_a_at,588.6
1416422_a_at,663.49
1416423_x_at,577.99
1416424_at,1391.22
1416425_at,317.66
1416426_at,3914.22
1416427_at,6814.57
1416428_at,1548.92
1416429_a_at,2407.65
1416430_at,3772.25
1416431_at,1895.58
1416432_at,2010.58
1416433_at,71.84
1416434_at,40.17
1416435_at,261.63
1416436_a_at,169.16
1416437_a_at,111.85
1416438_at,1014.02
1416439_at,258.97
1416440_at,11185.36
1416441_at,1381.39
1416442_at,2005.33
1416443_a_at,445.29
1416444_at,10.5
1416445_at,827.61
1416446_at,1056.71
1416447_at,788.34
1416448_at,598.65
1416449_x_at,137.29
1416450_at,79.1
1416451_s_at,155.79
1416452_at,4063.19
1416453_x_at,17130.04
1416454_s_at,1834.84
1416455_a_at,2027.89
1416456_a_at,25
1416457_at,161.94
1416458_at,381.21
1416459_at,92.05
1416460_at,13.44
1416461_at,2627.16
1416462_at,1501.32
1416463_at,120.18
1416464_at,16.49
1416465_a_at,5762.75
1416466_at,9094.89
1416467_at,3859.79
1416468_at,3687.63
1416469_at,1176.77
1416470_a_at,1516.83
1416471_at,1096.91
1416472_at,1660.63
1416473_a_at,627.37
1416474_at,333.36
1416475_at,737.03
1416476_a_at,4908.54
1416477_at,3161.69
1416478_a_at,7149.49
1416479_a_at,942.18
1416480_a_at,8288.76
1416481_s_at,553.45
1416482_at,55.09
1416483_at,709.29
1416484_at,115.79
1416485_at,2204.55
1416486_at,1596.32
1416487_a_at,215.77
1416488_at,2446.72
1416489_at,2994.28
1416490_at,13.07
1416491_at,208.2
1416492_at,327.52
1416493_at,1862.71
1416494_at,1115.58
1416495_s_at,2062.02
1416496_at,8366.92
1416497_at,1709.17
1416498_at,2564.1
1416499_a_at,2781.08
1416500_at,1608.76
1416501_at,426.72
1416502_a_at,642.47
1416503_at,2124.92
1416504_at,140.42
1416505_at,6100.17
1416506_at,4848.06
1416507_at,4.33
1416508_at,1999.97
1416509_at,1053.72
1416510_at,986.26
1416511_a_at,287.99
1416512_at,435.83
1416513_at,523.75
1416514_a_at,4595.86
1416515_at,38.63
1416516_at,25.86
1416517_at,169.21
1416518_at,12.21
1416519_at,15448.06
1416520_x_at,11636.49
1416521_at,290.06
1416522_a_at,1588
1416523_at,14.49
1416524_at,1576.2
1416525_at,132.23
1416526_a_at,1424.09
1416527_at,1053.64
1416528_at,2843.04
1416529_at,5092.46
1416530_a_at,4311.19
1416531_at,3807.78
1416532_at,519.09
1416533_at,491.23
1416534_at,1215.88
1416535_at,177.5
1416536_at,290.83
1416537_at,588.56
1416538_at,149.44
1416539_at,64.8
1416540_at,759.27
1416541_at,477.51
1416542_at,283
1416543_at,2435.5
1416544_at,169.01
1416545_at,406.59
1416546_a_at,14778.38
1416547_at,1849.92
1416548_at,216.13
1416549_at,92.38
1416550_at,167.83
1416551_at,734.08
1416552_at,22.06
1416553_at,335.27
1416554_at,1651.58
1416555_at,1288.8
1416556_at,3692.72
1416557_a_at,482.73
1416558_at,5.67
1416559_at,332.44
1416560_at,14.69
1416561_at,26.28
1416562_at,11.46
1416563_at,1206.98
1416564_at,7.37
1416565_at,6013.1
1416566_at,2018.43
1416567_s_at,1545.22
1416568_a_at,104.83
1416569_at,223.83
1416570_s_at,456.99
1416571_at,37.17
1416572_at,224.93
1416573_at,405.84
1416574_at,999.18
1416575_at,51.07
1416576_at,148.73
1416577_a_at,1659.34
1416578_at,252.04
1416579_a_at,12.86
1416580_a_at,2218.98
1416581_at,417.49
1416582_a_at,524.92
1416583_at,459.06
1416584_at,441.7
1416585_at,335.41
1416586_at,79.56
1416587_a_at,540.77
1416588_at,543.64
1416589_at,19781.59
1416590_a_at,1765.15
1416591_at,2610.53
1416592_at,2224.39
1416593_at,1215.55
1416594_at,282.33
1416595_at,694.67
1416596_at,16.01
1416597_at,204.57
1416598_at,269.31
1416599_at,204.48
1416600_a_at,440.06
1416601_a_at,20.83
1416602_a_at,247.09
1416603_at,9316.21
1416604_at,2193.72
1416605_at,697.41
1416606_s_at,1259.33
1416607_at,1355.2
1416608_a_at,892.48
1416609_at,1157.98
1416610_a_at,188.3
